movieTitle,movieYear,movieIMDbLink,imdbScore,director,actor
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,http://www.imdb.com/title/tt0057012/?ref_=fn_tt_tt_1,8.5,Stanley Kubrick,Slim Pickens
Children of Heaven,1997,http://www.imdb.com/title/tt0118849/?ref_=fn_tt_tt_1,8.5,Majid Majidi,Amir Farrokh Hashemian
WALLÌ´ÌÁE,2008,http://www.imdb.com/title/tt0910970/?ref_=fn_tt_tt_1,8.4,Andrew Stanton,Fred Willard
Braveheart,1995,http://www.imdb.com/title/tt0112573/?ref_=fn_tt_tt_1,8.4,Mel Gibson,Patrick McGoohan
AmÌÎå©lie,2001,http://www.imdb.com/title/tt0211915/?ref_=fn_tt_tt_1,8.4,Jean-Pierre Jeunet,Jamel Debbouze
Baahubali: The Beginning,2015,http://www.imdb.com/title/tt2631186/?ref_=fn_tt_tt_1,8.4,S.S. Rajamouli,Anushka Shetty
Lion of the Desert,1980,http://www.imdb.com/title/tt0081059/?ref_=fn_tt_tt_1,8.4,Moustapha Akkad,Rod Steiger
Star Wars: Episode VI - Return of the Jedi,1983,http://www.imdb.com/title/tt0086190/?ref_=fn_tt_tt_1,8.4,Richard Marquand,Ian McDiarmid
Once Upon a Time in America,1984,http://www.imdb.com/title/tt0087843/?ref_=fn_tt_tt_1,8.4,Sergio Leone,Burt Young
Princess Mononoke,1997,http://www.imdb.com/title/tt0119698/?ref_=fn_tt_tt_1,8.4,Hayao Miyazaki,Jada Pinkett Smith
The Shining,1980,http://www.imdb.com/title/tt0081505/?ref_=fn_tt_tt_1,8.4,Stanley Kubrick,Shelley Duvall
Aliens,1986,http://www.imdb.com/title/tt0090605/?ref_=fn_tt_tt_1,8.4,James Cameron,Carrie Henn
American Beauty,1999,http://www.imdb.com/title/tt0169547/?ref_=fn_tt_tt_1,8.4,Sam Mendes,Peter Gallagher
Lawrence of Arabia,1962,http://www.imdb.com/title/tt0056172/?ref_=fn_tt_tt_1,8.4,David Lean,JosÌÎå© Ferrer
U2 3D,2007,http://www.imdb.com/title/tt0892375/?ref_=fn_tt_tt_1,8.4,Catherine Owens,The Edge
Das Boot,1981,http://www.imdb.com/title/tt0082096/?ref_=fn_tt_tt_1,8.4,Wolfgang Petersen,Martin Semmelrogge
Rang De Basanti,2006,http://www.imdb.com/title/tt0405508/?ref_=fn_tt_tt_1,8.4,Rakeysh Omprakash Mehra,Steven Mackintosh
Requiem for a Dream,2000,http://www.imdb.com/title/tt0180093/?ref_=fn_tt_tt_1,8.4,Darren Aronofsky,Mark Margolis
"Batman: The Dark Knight Returns, Part 2",2013,http://www.imdb.com/title/tt2166834/?ref_=fn_tt_tt_1,8.4,Jay Oliva,Mark Valley
Oldboy,2003,http://www.imdb.com/title/tt0364569/?ref_=fn_tt_tt_1,8.4,Chan-wook Park,Ji-tae Yu
To Kill a Mockingbird,1962,http://www.imdb.com/title/tt0056592/?ref_=fn_tt_tt_1,8.4,Robert Mulligan,Brock Peters
Reservoir Dogs,1992,http://www.imdb.com/title/tt0105236/?ref_=fn_tt_tt_1,8.4,Quentin Tarantino,Steve Buscemi
A Separation,2011,http://www.imdb.com/title/tt1832382/?ref_=fn_tt_tt_1,8.4,Asghar Farhadi,Leila Hatami
The Other Dream Team,2012,http://www.imdb.com/title/tt1606829/?ref_=fn_tt_tt_1,8.4,Marius A. Markevicius,Greg Speirs
A Charlie Brown Christmas,1965,http://www.imdb.com/title/tt0059026/?ref_=fn_tt_tt_1,8.4,Bill Melendez,Bill Melendez
Toy Story 3,2010,http://www.imdb.com/title/tt0435761/?ref_=fn_tt_tt_1,8.3,Lee Unkrich,John Ratzenberger
Up,2009,http://www.imdb.com/title/tt1049413/?ref_=fn_tt_tt_1,8.3,Pete Docter,Delroy Lindo
Inside Out,2015,http://www.imdb.com/title/tt2096673/?ref_=fn_tt_tt_1,8.3,Pete Docter,Mindy Kaling
Batman Begins,2005,http://www.imdb.com/title/tt0372784/?ref_=fn_tt_tt_1,8.3,Christopher Nolan,Liam Neeson
Inglourious Basterds,2009,http://www.imdb.com/title/tt0361748/?ref_=fn_tt_tt_1,8.3,Quentin Tarantino,Brad Pitt
Indiana Jones and the Last Crusade,1989,http://www.imdb.com/title/tt0097576/?ref_=fn_tt_tt_1,8.3,Steven Spielberg,Julian Glover
L.A. Confidential,1997,http://www.imdb.com/title/tt0119488/?ref_=fn_tt_tt_1,8.3,Curtis Hanson,Matt McCoy
Toy Story,1995,http://www.imdb.com/title/tt0114709/?ref_=fn_tt_tt_1,8.3,John Lasseter,John Ratzenberger
Scarface,1983,http://www.imdb.com/title/tt0086250/?ref_=fn_tt_tt_1,8.3,Brian De Palma,F. Murray Abraham
Eternal Sunshine of the Spotless Mind,2004,http://www.imdb.com/title/tt0338013/?ref_=fn_tt_tt_1,8.3,Michel Gondry,Kirsten Dunst
Amadeus,1984,http://www.imdb.com/title/tt0086879/?ref_=fn_tt_tt_1,8.3,Milos Forman,F. Murray Abraham
Raging Bull,1980,http://www.imdb.com/title/tt0081398/?ref_=fn_tt_tt_1,8.3,Martin Scorsese,Cathy Moriarty
Metropolis,1927,http://www.imdb.com/title/tt0017136/?ref_=fn_tt_tt_1,8.3,Fritz Lang,Gustav FrÌÎå_hlich
Unforgiven,1992,http://www.imdb.com/title/tt0105695/?ref_=fn_tt_tt_1,8.3,Clint Eastwood,Morgan Freeman
Downfall,2004,http://www.imdb.com/title/tt0363163/?ref_=fn_tt_tt_1,8.3,Oliver Hirschbiegel,Bruno Ganz
Room,2015,http://www.imdb.com/title/tt3170832/?ref_=fn_tt_tt_1,8.3,Lenny Abrahamson,Jacob Tremblay
Snatch,2000,http://www.imdb.com/title/tt0208092/?ref_=fn_tt_tt_1,8.3,Guy Ritchie,Brad Pitt
2001: A Space Odyssey,1968,http://www.imdb.com/title/tt0062622/?ref_=fn_tt_tt_1,8.3,Stanley Kubrick,Gary Lockwood
Good Will Hunting,1997,http://www.imdb.com/title/tt0119217/?ref_=fn_tt_tt_1,8.3,Gus Van Sant,Matt Damon
Lake of Fire,2006,http://www.imdb.com/title/tt0841119/?ref_=fn_tt_tt_1,8.3,Tony Kaye,Pat Buchanan
The Sting,1973,http://www.imdb.com/title/tt0070735/?ref_=fn_tt_tt_1,8.3,George Roy Hill,Robert Shaw
The Great Escape,1963,http://www.imdb.com/title/tt0057115/?ref_=fn_tt_tt_1,8.3,John Sturges,Donald Pleasence
The Hunt,2012,http://www.imdb.com/title/tt2106476/?ref_=fn_tt_tt_1,8.3,Thomas Vinterberg,Alexandra Rapaport
The Apartment,1960,http://www.imdb.com/title/tt0053604/?ref_=fn_tt_tt_1,8.3,Billy Wilder,Ray Walston
Judgment at Nuremberg,1961,http://www.imdb.com/title/tt0055031/?ref_=fn_tt_tt_1,8.3,Stanley Kramer,Montgomery Clift
Some Like It Hot,1959,http://www.imdb.com/title/tt0053291/?ref_=fn_tt_tt_1,8.3,Billy Wilder,Joe E. Brown
Singin' in the Rain,1952,http://www.imdb.com/title/tt0045152/?ref_=fn_tt_tt_1,8.3,Stanley Donen,Debbie Reynolds
Inside Job,2010,http://www.imdb.com/title/tt1645089/?ref_=fn_tt_tt_1,8.3,Charles Ferguson,George W. Bush
No End in Sight,2007,http://www.imdb.com/title/tt0912593/?ref_=fn_tt_tt_1,8.3,Charles Ferguson,Dick Cheney
Taxi Driver,1976,http://www.imdb.com/title/tt0075314/?ref_=fn_tt_tt_1,8.3,Martin Scorsese,Albert Brooks
Hoop Dreams,1994,http://www.imdb.com/title/tt0110057/?ref_=fn_tt_tt_1,8.3,Steve James,Arthur Agee
The Sound and the Shadow,2014,http://www.imdb.com/title/tt2190180/?ref_=fn_tt_tt_1,8.3,Justin Paul Miller,Jennifer Landa
Monty Python and the Holy Grail,1975,http://www.imdb.com/title/tt0071853/?ref_=fn_tt_tt_1,8.3,Terry Gilliam,Michael Palin
The Big Parade,1925,http://www.imdb.com/title/tt0015624/?ref_=fn_tt_tt_1,8.3,King Vidor,Ren�댩e Ador�댩e
"Peace, Propaganda & the Promised Land",2004,http://www.imdb.com/title/tt0428959/?ref_=fn_tt_tt_1,8.3,Sut Jhally,Seth Ackerman
The Shawshank Redemption,1994,http://www.imdb.com/title/tt0111161/?ref_=fn_tt_tt_1,9.3,Frank Darabont,Bob Gunton
The Godfather,1972,http://www.imdb.com/title/tt0068646/?ref_=fn_tt_tt_1,9.2,Francis Ford Coppola,Robert Duvall
Kickboxer: Vengeance,2016,http://www.imdb.com/title/tt3082898/?ref_=fn_tt_tt_1,9.1,John Stockwell,Sam Medina
The Dark Knight,2008,http://www.imdb.com/title/tt0468569/?ref_=fn_tt_tt_1,9,Christopher Nolan,Morgan Freeman
The Godfather: Part II,1974,http://www.imdb.com/title/tt0071562/?ref_=fn_tt_tt_1,9,Francis Ford Coppola,Robert Duvall
The Lord of the Rings: The Return of the King,2003,http://www.imdb.com/title/tt0167260/?ref_=fn_tt_tt_1,8.9,Peter Jackson,Bernard Hill
Schindler's List,1993,http://www.imdb.com/title/tt0108052/?ref_=fn_tt_tt_1,8.9,Steven Spielberg,Caroline Goodall
Pulp Fiction,1994,http://www.imdb.com/title/tt0110912/?ref_=fn_tt_tt_1,8.9,Quentin Tarantino,Phil LaMarr
"The Good, the Bad and the Ugly",1966,http://www.imdb.com/title/tt0060196/?ref_=fn_tt_tt_1,8.9,Sergio Leone,Enzo Petito
12 Angry Men,1957,http://www.imdb.com/title/tt0050083/?ref_=fn_tt_tt_1,8.9,Sidney Lumet,John Fiedler
Inception,2010,http://www.imdb.com/title/tt1375666/?ref_=fn_tt_tt_1,8.8,Christopher Nolan,Joseph Gordon-Levitt
The Lord of the Rings: The Fellowship of the Ring,2001,http://www.imdb.com/title/tt0120737/?ref_=fn_tt_tt_1,8.8,Peter Jackson,Billy Boyd
Fight Club,1999,http://www.imdb.com/title/tt0137523/?ref_=fn_tt_tt_1,8.8,David Fincher,Eugenie Bondurant
Forrest Gump,1994,http://www.imdb.com/title/tt0109830/?ref_=fn_tt_tt_1,8.8,Robert Zemeckis,Sam Anderson
Star Wars: Episode V - The Empire Strikes Back,1980,http://www.imdb.com/title/tt0080684/?ref_=fn_tt_tt_1,8.8,Irvin Kershner,Anthony Daniels
The Lord of the Rings: The Two Towers,2002,http://www.imdb.com/title/tt0167261/?ref_=fn_tt_tt_1,8.7,Peter Jackson,Billy Boyd
The Matrix,1999,http://www.imdb.com/title/tt0133093/?ref_=fn_tt_tt_1,8.7,Lana Wachowski,Gloria Foster
Goodfellas,1990,http://www.imdb.com/title/tt0099685/?ref_=fn_tt_tt_1,8.7,Martin Scorsese,Paul Sorvino
Star Wars: Episode IV - A New Hope,1977,http://www.imdb.com/title/tt0076759/?ref_=fn_tt_tt_1,8.7,George Lucas,Kenny Baker
One Flew Over the Cuckoo's Nest,1975,http://www.imdb.com/title/tt0073486/?ref_=fn_tt_tt_1,8.7,Milos Forman,Louise Fletcher
City of God,2002,http://www.imdb.com/title/tt0317248/?ref_=fn_tt_tt_1,8.7,Fernando Meirelles,Alexandre Rodrigues
A Beginner's Guide to Snuff,2016,http://www.imdb.com/title/tt4058122/?ref_=fn_tt_tt_1,8.7,Mitchell Altieri,Bree Williamson
Queen of the Mountains,2014,http://www.imdb.com/title/tt2640460/?ref_=fn_tt_tt_1,8.7,Sadyk Sher-Niyaz,Mirlan Abdulayev
Seven Samurai,1954,http://www.imdb.com/title/tt0047478/?ref_=fn_tt_tt_1,8.7,Akira Kurosawa,Kamatari Fujiwara
Butterfly Girl,2014,http://www.imdb.com/title/tt2421956/?ref_=fn_tt_tt_1,8.7,Cary Bell,Emily Gorell
Interstellar,2014,http://www.imdb.com/title/tt0816692/?ref_=fn_tt_tt_1,8.6,Christopher Nolan,Mackenzie Foy
Saving Private Ryan,1998,http://www.imdb.com/title/tt0120815/?ref_=fn_tt_tt_1,8.6,Steven Spielberg,Matt Damon
Se7en,1995,http://www.imdb.com/title/tt0114369/?ref_=fn_tt_tt_1,8.6,David Fincher,Reg E. Cathey
The Silence of the Lambs,1991,http://www.imdb.com/title/tt0102926/?ref_=fn_tt_tt_1,8.6,Jonathan Demme,Anthony Heald
Spirited Away,2001,http://www.imdb.com/title/tt0245429/?ref_=fn_tt_tt_1,8.6,Hayao Miyazaki,Miyu Irino
American History X,1998,http://www.imdb.com/title/tt0120586/?ref_=fn_tt_tt_1,8.6,Tony Kaye,Stacy Keach
The Usual Suspects,1995,http://www.imdb.com/title/tt0114814/?ref_=fn_tt_tt_1,8.6,Bryan Singer,Kevin Pollak
Once Upon a Time in the West,1968,http://www.imdb.com/title/tt0064116/?ref_=fn_tt_tt_1,8.6,Sergio Leone,Jack Elam
Running Forever,2015,http://www.imdb.com/title/tt4453560/?ref_=fn_tt_tt_1,8.6,Mike Mayhall,Martin Kove
It's a Wonderful Life,1946,http://www.imdb.com/title/tt0038650/?ref_=fn_tt_tt_1,8.6,Frank Capra,Thomas Mitchell
Modern Times,1936,http://www.imdb.com/title/tt0027977/?ref_=fn_tt_tt_1,8.6,Charles Chaplin,Fred Malatesta
Casablanca,1942,http://www.imdb.com/title/tt0034583/?ref_=fn_tt_tt_1,8.6,Michael Curtiz,Conrad Veidt
The Dark Knight Rises,2012,http://www.imdb.com/title/tt1345836/?ref_=fn_tt_tt_1,8.5,Christopher Nolan,Joseph Gordon-Levitt
Gladiator,2000,http://www.imdb.com/title/tt0172495/?ref_=fn_tt_tt_1,8.5,Ridley Scott,Oliver Reed
Terminator 2: Judgment Day,1991,http://www.imdb.com/title/tt0103064/?ref_=fn_tt_tt_1,8.5,James Cameron,S. Epatha Merkerson
Django Unchained,2012,http://www.imdb.com/title/tt1853728/?ref_=fn_tt_tt_1,8.5,Quentin Tarantino,Ato Essandoh
The Departed,2006,http://www.imdb.com/title/tt0407887/?ref_=fn_tt_tt_1,8.5,Martin Scorsese,Ray Winstone
The Lion King,1994,http://www.imdb.com/title/tt0110357/?ref_=fn_tt_tt_1,8.5,Roger Allers,Niketa Calame
The Green Mile,1999,http://www.imdb.com/title/tt0120689/?ref_=fn_tt_tt_1,8.5,Frank Darabont,Michael Jeter
The Prestige,2006,http://www.imdb.com/title/tt0482571/?ref_=fn_tt_tt_1,8.5,Christopher Nolan,Scarlett Johansson
The Pianist,2002,http://www.imdb.com/title/tt0253474/?ref_=fn_tt_tt_1,8.5,Roman Polanski,Ed Stoppard
Apocalypse Now,1979,http://www.imdb.com/title/tt0078788/?ref_=fn_tt_tt_1,8.5,Francis Ford Coppola,Robert Duvall
Raiders of the Lost Ark,1981,http://www.imdb.com/title/tt0082971/?ref_=fn_tt_tt_1,8.5,Steven Spielberg,William Hootkins
Psycho,1960,http://www.imdb.com/title/tt0054215/?ref_=fn_tt_tt_1,8.5,Alfred Hitchcock,John Gavin
Back to the Future,1985,http://www.imdb.com/title/tt0088763/?ref_=fn_tt_tt_1,8.5,Robert Zemeckis,J.J. Cohen
Alien,1979,http://www.imdb.com/title/tt0078748/?ref_=fn_tt_tt_1,8.5,Ridley Scott,Bolaji Badejo
Memento,2000,http://www.imdb.com/title/tt0209144/?ref_=fn_tt_tt_1,8.5,Christopher Nolan,Jorja Fox
Airlift,2016,http://www.imdb.com/title/tt4387040/?ref_=fn_tt_tt_1,8.5,Raja Menon,Purab Kohli
Samsara,2011,http://www.imdb.com/title/tt0770802/?ref_=fn_tt_tt_1,8.5,Ron Fricke,Puti Sri Candra Dewi
Whiplash,2014,http://www.imdb.com/title/tt2582802/?ref_=fn_tt_tt_1,8.5,Damien Chazelle,Chris Mulkey
The Lives of Others,2006,http://www.imdb.com/title/tt0405094/?ref_=fn_tt_tt_1,8.5,Florian Henckel von Donnersmarck,Martina Gedeck
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,http://www.imdb.com/title/tt0057012/?ref_=fn_tt_tt_1,8.5,Stanley Kubrick,Keenan Wynn
Children of Heaven,1997,http://www.imdb.com/title/tt0118849/?ref_=fn_tt_tt_1,8.5,Majid Majidi,Mohammad Amir Naji
WALLÌ´ÌÁE,2008,http://www.imdb.com/title/tt0910970/?ref_=fn_tt_tt_1,8.4,Andrew Stanton,Jeff Garlin
Braveheart,1995,http://www.imdb.com/title/tt0112573/?ref_=fn_tt_tt_1,8.4,Mel Gibson,James Robinson
AmÌÎå©lie,2001,http://www.imdb.com/title/tt0211915/?ref_=fn_tt_tt_1,8.4,Jean-Pierre Jeunet,Isabelle Nanty
Baahubali: The Beginning,2015,http://www.imdb.com/title/tt2631186/?ref_=fn_tt_tt_1,8.4,S.S. Rajamouli,Prabhas
Lion of the Desert,1980,http://www.imdb.com/title/tt0081059/?ref_=fn_tt_tt_1,8.4,Moustapha Akkad,John Gielgud
Star Wars: Episode VI - Return of the Jedi,1983,http://www.imdb.com/title/tt0086190/?ref_=fn_tt_tt_1,8.4,Richard Marquand,Kenny Baker
Once Upon a Time in America,1984,http://www.imdb.com/title/tt0087843/?ref_=fn_tt_tt_1,8.4,Sergio Leone,Treat Williams
Princess Mononoke,1997,http://www.imdb.com/title/tt0119698/?ref_=fn_tt_tt_1,8.4,Hayao Miyazaki,Billy Crudup
The Shining,1980,http://www.imdb.com/title/tt0081505/?ref_=fn_tt_tt_1,8.4,Stanley Kubrick,Joe Turkel
Aliens,1986,http://www.imdb.com/title/tt0090605/?ref_=fn_tt_tt_1,8.4,James Cameron,Jenette Goldstein
American Beauty,1999,http://www.imdb.com/title/tt0169547/?ref_=fn_tt_tt_1,8.4,Sam Mendes,Ara Celi
Lawrence of Arabia,1962,http://www.imdb.com/title/tt0056172/?ref_=fn_tt_tt_1,8.4,David Lean,Jack Hawkins
U2 3D,2007,http://www.imdb.com/title/tt0892375/?ref_=fn_tt_tt_1,8.4,Catherine Owens,Larry Mullen Jr.
Das Boot,1981,http://www.imdb.com/title/tt0082096/?ref_=fn_tt_tt_1,8.4,Wolfgang Petersen,Herbert GrÌÎå_nemeyer
Rang De Basanti,2006,http://www.imdb.com/title/tt0405508/?ref_=fn_tt_tt_1,8.4,Rakeysh Omprakash Mehra,Madhavan
Requiem for a Dream,2000,http://www.imdb.com/title/tt0180093/?ref_=fn_tt_tt_1,8.4,Darren Aronofsky,Louise Lasser
"Batman: The Dark Knight Returns, Part 2",2013,http://www.imdb.com/title/tt2166834/?ref_=fn_tt_tt_1,8.4,Jay Oliva,Grey Griffin
Oldboy,2003,http://www.imdb.com/title/tt0364569/?ref_=fn_tt_tt_1,8.4,Chan-wook Park,Hye-jeong Kang
To Kill a Mockingbird,1962,http://www.imdb.com/title/tt0056592/?ref_=fn_tt_tt_1,8.4,Robert Mulligan,William Windom
Reservoir Dogs,1992,http://www.imdb.com/title/tt0105236/?ref_=fn_tt_tt_1,8.4,Quentin Tarantino,Chris Penn
A Separation,2011,http://www.imdb.com/title/tt1832382/?ref_=fn_tt_tt_1,8.4,Asghar Farhadi,Peyman Moaadi
The Other Dream Team,2012,http://www.imdb.com/title/tt1606829/?ref_=fn_tt_tt_1,8.4,Marius A. Markevicius,Mickey Hart
A Charlie Brown Christmas,1965,http://www.imdb.com/title/tt0059026/?ref_=fn_tt_tt_1,8.4,Bill Melendez,Christopher Shea
Toy Story 3,2010,http://www.imdb.com/title/tt0435761/?ref_=fn_tt_tt_1,8.3,Lee Unkrich,Don Rickles
Up,2009,http://www.imdb.com/title/tt1049413/?ref_=fn_tt_tt_1,8.3,Pete Docter,Jess Harnell
Inside Out,2015,http://www.imdb.com/title/tt2096673/?ref_=fn_tt_tt_1,8.3,Pete Docter,Phyllis Smith
Batman Begins,2005,http://www.imdb.com/title/tt0372784/?ref_=fn_tt_tt_1,8.3,Christopher Nolan,Morgan Freeman
Inglourious Basterds,2009,http://www.imdb.com/title/tt0361748/?ref_=fn_tt_tt_1,8.3,Quentin Tarantino,Christoph Waltz
Indiana Jones and the Last Crusade,1989,http://www.imdb.com/title/tt0097576/?ref_=fn_tt_tt_1,8.3,Steven Spielberg,Alison Doody
L.A. Confidential,1997,http://www.imdb.com/title/tt0119488/?ref_=fn_tt_tt_1,8.3,Curtis Hanson,Paul Guilfoyle
Toy Story,1995,http://www.imdb.com/title/tt0114709/?ref_=fn_tt_tt_1,8.3,John Lasseter,Jim Varney
Scarface,1983,http://www.imdb.com/title/tt0086250/?ref_=fn_tt_tt_1,8.3,Brian De Palma,Mary Elizabeth Mastrantonio
Eternal Sunshine of the Spotless Mind,2004,http://www.imdb.com/title/tt0338013/?ref_=fn_tt_tt_1,8.3,Michel Gondry,Tom Wilkinson
Amadeus,1984,http://www.imdb.com/title/tt0086879/?ref_=fn_tt_tt_1,8.3,Milos Forman,Tom Hulce
Raging Bull,1980,http://www.imdb.com/title/tt0081398/?ref_=fn_tt_tt_1,8.3,Martin Scorsese,Frank Vincent
Metropolis,1927,http://www.imdb.com/title/tt0017136/?ref_=fn_tt_tt_1,8.3,Fritz Lang,Rudolf Klein-Rogge
Unforgiven,1992,http://www.imdb.com/title/tt0105695/?ref_=fn_tt_tt_1,8.3,Clint Eastwood,Frances Fisher
Downfall,2004,http://www.imdb.com/title/tt0363163/?ref_=fn_tt_tt_1,8.3,Oliver Hirschbiegel,Alexandra Maria Lara
Room,2015,http://www.imdb.com/title/tt3170832/?ref_=fn_tt_tt_1,8.3,Lenny Abrahamson,Cas Anvar
Snatch,2000,http://www.imdb.com/title/tt0208092/?ref_=fn_tt_tt_1,8.3,Guy Ritchie,Jason Flemyng
2001: A Space Odyssey,1968,http://www.imdb.com/title/tt0062622/?ref_=fn_tt_tt_1,8.3,Stanley Kubrick,Glenn Beck
Good Will Hunting,1997,http://www.imdb.com/title/tt0119217/?ref_=fn_tt_tt_1,8.3,Gus Van Sant,Minnie Driver
Lake of Fire,2006,http://www.imdb.com/title/tt0841119/?ref_=fn_tt_tt_1,8.3,Tony Kaye,Bill Baird
The Sting,1973,http://www.imdb.com/title/tt0070735/?ref_=fn_tt_tt_1,8.3,George Roy Hill,Ray Walston
The Great Escape,1963,http://www.imdb.com/title/tt0057115/?ref_=fn_tt_tt_1,8.3,John Sturges,Gordon Jackson
The Hunt,2012,http://www.imdb.com/title/tt2106476/?ref_=fn_tt_tt_1,8.3,Thomas Vinterberg,Hana Shuan
The Apartment,1960,http://www.imdb.com/title/tt0053604/?ref_=fn_tt_tt_1,8.3,Billy Wilder,David White
Judgment at Nuremberg,1961,http://www.imdb.com/title/tt0055031/?ref_=fn_tt_tt_1,8.3,Stanley Kramer,Spencer Tracy
Some Like It Hot,1959,http://www.imdb.com/title/tt0053291/?ref_=fn_tt_tt_1,8.3,Billy Wilder,George Raft
Singin' in the Rain,1952,http://www.imdb.com/title/tt0045152/?ref_=fn_tt_tt_1,8.3,Stanley Donen,Cyd Charisse
Inside Job,2010,http://www.imdb.com/title/tt1645089/?ref_=fn_tt_tt_1,8.3,Charles Ferguson,Barney Frank
No End in Sight,2007,http://www.imdb.com/title/tt0912593/?ref_=fn_tt_tt_1,8.3,Charles Ferguson,Donald Rumsfeld
Taxi Driver,1976,http://www.imdb.com/title/tt0075314/?ref_=fn_tt_tt_1,8.3,Martin Scorsese,Peter Boyle
Hoop Dreams,1994,http://www.imdb.com/title/tt0110057/?ref_=fn_tt_tt_1,8.3,Steve James,Isiah Thomas
The Sound and the Shadow,2014,http://www.imdb.com/title/tt2190180/?ref_=fn_tt_tt_1,8.3,Justin Paul Miller,Felix Avitia
Monty Python and the Holy Grail,1975,http://www.imdb.com/title/tt0071853/?ref_=fn_tt_tt_1,8.3,Terry Gilliam,Terry Jones
The Big Parade,1925,http://www.imdb.com/title/tt0015624/?ref_=fn_tt_tt_1,8.3,King Vidor,Claire Adams
"Peace, Propaganda & the Promised Land",2004,http://www.imdb.com/title/tt0428959/?ref_=fn_tt_tt_1,8.3,Sut Jhally,Arik Ascherman
